trial,opponent,seed,opponent_rng,winner,game_points,score,aggressive_moves,defensive_moves
1,RandBot,2592278809,2592278810,AdaptiveBot,2,93,0,7
2,RandBot,4259816939,4259816940,AdaptiveBot,2,78,0,16
3,RandBot,1731726660,1731726661,RandBot,3,73,0,19
4,RandBot,3399264790,3399264791,AdaptiveBot,1,55,0,29
5,RandBot,3018658159,3018658160,AdaptiveBot,2,74,0,36
6,RandBot,2638051528,2638051529,AdaptiveBot,1,66,0,46
7,RandBot,10622362,10622363,RandBot,2,68,0,53
8,RandBot,1777499379,1777499380,AdaptiveBot,1,72,0,63
9,RandBot,3445037509,3445037510,RandBot,1,71,0,72
10,RandBot,3064430878,3064430879,AdaptiveBot,1,65,0,82
11,RandBot,437001712,437001713,AdaptiveBot,2,74,0,90
12,RandBot,2203878729,2203878730,AdaptiveBot,1,67,0,100
13,RandBot,1823272098,1823272099,RandBot,1,74,0,109
14,RandBot,3490810228,3490810229,RandBot,2,85,0,118
15,RandBot,3110203597,3110203598,AdaptiveBot,1,67,0,128
16,RandBot,2630258079,2630258080,AdaptiveBot,1,71,0,135
17,RandBot,2249651448,2249651449,AdaptiveBot,1,72,0,144
18,RandBot,3917189578,3917189579,AdaptiveBot,2,66,0,151
19,RandBot,3536582947,3536582948,AdaptiveBot,2,66,0,160
20,RandBot,1008492668,1008492669,RandBot,2,68,0,167
21,RandBot,2676030798,2676030799,AdaptiveBot,3,66,0,173
22,RandBot,2295424167,2295424168,AdaptiveBot,1,73,0,182
23,RandBot,3962962297,3962962298,AdaptiveBot,3,72,0,188
24,RandBot,1434872018,1434872019,AdaptiveBot,1,68,0,198
25,RandBot,1054265387,1054265388,AdaptiveBot,1,75,0,207
26,RandBot,2721803517,2721803518,RandBot,1,77,0,217
27,RandBot,2341196886,2341196887,AdaptiveBot,1,75,0,227
28,RandBot,1861251368,1861251369,AdaptiveBot,2,66,0,235
29,RandBot,1480644737,1480644738,RandBot,2,68,0,239
30,RandBot,3148182867,3148182868,RandBot,3,71,0,243
31,RandBot,2767576236,2767576237,RandBot,1,57,0,253
32,RandBot,2386969605,2386969606,AdaptiveBot,2,69,0,261
33,RandBot,1907024087,1907024088,RandBot,2,87,0,270
34,RandBot,1526417456,1526417457,RandBot,2,75,0,277
35,RandBot,3193955586,3193955587,RandBot,1,76,0,285
36,RandBot,2813348955,2813348956,AdaptiveBot,1,60,0,295
37,RandBot,2333403437,2333403438,RandBot,3,67,0,301
38,RandBot,1952796806,1952796807,RandBot,3,99,0,307
39,RandBot,1572190175,1572190176,AdaptiveBot,2,66,0,315
40,RandBot,3239728305,3239728306,RandBot,1,62,0,325
