trial,opponent,seed,opponent_rng,winner,game_points,score
1,RandBot,4234003253,4234003254,AdaptiveBot,3,69
2,RandBot,1705912974,1705912975,AdaptiveBot,2,79
3,RandBot,3373451104,3373451105,AdaptiveBot,3,90
4,RandBot,2992844473,2992844474,AdaptiveBot,1,67
5,RandBot,365415307,365415308,AdaptiveBot,2,67
6,RandBot,2132292324,2132292325,AdaptiveBot,3,85
7,RandBot,3799830454,3799830455,RandBot,1,63
8,RandBot,3419223823,3419223824,RandBot,1,75
9,RandBot,3038617192,3038617193,AdaptiveBot,2,80
10,RandBot,2558671674,2558671675,AdaptiveBot,3,86
