trial,opponent,seed,opponent_rng,winner,game_points,score
1,RandBot,995259077,995259078,RandBot,1,75
2,RandBot,2762136094,2762136095,AdaptiveBot,1,75
3,RandBot,134706928,134706929,RandBot,3,76
4,RandBot,4049067593,4049067594,RandBot,2,72
5,RandBot,3668460962,3668460963,AdaptiveBot,3,75
6,RandBot,3188515444,3188515445,RandBot,1,76
7,RandBot,2807908813,2807908814,AdaptiveBot,2,67
8,RandBot,180479647,180479648,AdaptiveBot,1,56
9,RandBot,4094840312,4094840313,RandBot,3,76
10,RandBot,1467411146,1467411147,RandBot,1,77
