trial,opponent,seed,opponent_rng,winner,game_points,score,aggressive_moves,defensive_moves
1,RdeepBot,1514447302,1514447303,RdeepBot,2,105,52,106
2,RdeepBot,3181985432,3181985433,RdeepBot,3,89,55,106
3,RdeepBot,2801378801,2801378802,RdeepBot,3,68,55,110
4,RdeepBot,2321433283,2321433284,AdaptiveBot,1,68,57,118
5,RdeepBot,1940826652,1940826653,RdeepBot,1,70,65,118
6,RdeepBot,3608364782,3608364783,RdeepBot,1,75,75,118
7,RdeepBot,3227758151,3227758152,RdeepBot,2,94,75,125
8,RdeepBot,699667872,699667873,RdeepBot,3,77,80,125
9,RdeepBot,2367206002,2367206003,RdeepBot,1,69,87,126
10,RdeepBot,1986599371,1986599372,RdeepBot,1,66,97,126
