trial,opponent,seed,opponent_rng,winner,game_points,score
1,RandBot,627683136,627683137,RandBot,1,59
2,RandBot,2295221266,2295221267,AdaptiveBot,2,81
3,RandBot,4062098283,4062098284,AdaptiveBot,1,72
4,RandBot,1434669117,1434669118,AdaptiveBot,1,83
5,RandBot,1054062486,1054062487,AdaptiveBot,3,66
6,RandBot,2721600616,2721600617,RandBot,1,66
7,RandBot,2340993985,2340993986,AdaptiveBot,3,76
8,RandBot,4107871002,4107871003,AdaptiveBot,1,58
9,RandBot,1480441836,1480441837,AdaptiveBot,1,81
10,RandBot,1099835205,1099835206,AdaptiveBot,3,95
1,BullyBot,3519137776,3519137777,AdaptiveBot,1,64
2,BullyBot,891708610,891708611,BullyBot,3,76
3,BullyBot,511101979,511101980,AdaptiveBot,3,67
4,BullyBot,130495348,130495349,AdaptiveBot,1,58
5,BullyBot,3945517126,3945517127,BullyBot,3,71
6,BullyBot,3564910495,3564910496,AdaptiveBot,2,77
7,BullyBot,937481329,937481330,AdaptiveBot,1,90
8,BullyBot,556874698,556874699,AdaptiveBot,1,80
9,BullyBot,76929180,76929181,AdaptiveBot,1,59
10,BullyBot,3991289845,3991289846,BullyBot,3,76
1,RdeepBot,939009611,939009612,RdeepBot,2,83
2,RdeepBot,558402980,558402981,RdeepBot,1,75
3,RdeepBot,78457462,78457463,RdeepBot,2,78
4,RdeepBot,3992818127,3992818128,RdeepBot,3,80
5,RdeepBot,3612211496,3612211497,RdeepBot,1,62
6,RdeepBot,984782330,984782331,AdaptiveBot,2,96
7,RdeepBot,604175699,604175700,AdaptiveBot,1,62
8,RdeepBot,124230181,124230182,RdeepBot,3,75
9,RdeepBot,4038590846,4038590847,AdaptiveBot,1,68
10,RdeepBot,1411161680,1411161681,RdeepBot,1,60
