trial,opponent,seed,opponent_rng,winner,game_points,score,aggressive_moves,defensive_moves
1,BullyBot,1138976959,1138976960,BullyBot,1,69,2942,308
2,BullyBot,758370328,758370329,BullyBot,1,70,2948,308
3,BullyBot,2425908458,2425908459,BullyBot,1,60,2958,308
4,BullyBot,2045301827,2045301828,BullyBot,2,69,2963,308
5,BullyBot,3712839957,3712839958,BullyBot,2,77,2969,308
6,BullyBot,1184749678,1184749679,AdaptiveBot,2,82,2974,309
7,BullyBot,804143047,804143048,AdaptiveBot,1,67,2982,309
8,BullyBot,2471681177,2471681178,AdaptiveBot,2,69,2986,309
9,BullyBot,2091074546,2091074547,BullyBot,1,68,2993,309
10,BullyBot,1611129028,1611129029,AdaptiveBot,3,72,2997,309
11,BullyBot,1230522397,1230522398,BullyBot,1,68,3005,309
12,BullyBot,2898060527,2898060528,AdaptiveBot,3,68,3007,309
13,BullyBot,2517453896,2517453897,AdaptiveBot,3,71,3012,309
14,BullyBot,4284330913,4284330914,AdaptiveBot,1,61,3014,317
15,BullyBot,1656901747,1656901748,BullyBot,2,78,3020,317
16,BullyBot,1276295116,1276295117,BullyBot,3,72,3024,317
17,BullyBot,2943833246,2943833247,BullyBot,1,57,3034,317
18,BullyBot,415742967,415742968,BullyBot,3,70,3038,317
19,BullyBot,2083281097,2083281098,BullyBot,3,78,3042,317
20,BullyBot,1702674466,1702674467,AdaptiveBot,3,68,3044,317
21,BullyBot,1322067835,1322067836,BullyBot,1,70,3052,317
22,BullyBot,842122317,842122318,AdaptiveBot,2,67,3058,317
23,BullyBot,461515686,461515687,BullyBot,1,56,3067,318
24,BullyBot,2129053816,2129053817,AdaptiveBot,3,81,3069,318
25,BullyBot,1748447185,1748447186,BullyBot,3,70,3073,318
26,BullyBot,1268501667,1268501668,AdaptiveBot,2,75,3079,318
27,BullyBot,887895036,887895037,BullyBot,2,77,3085,318
28,BullyBot,507288405,507288406,BullyBot,1,70,3093,318
29,BullyBot,2174826535,2174826536,AdaptiveBot,2,72,3097,318
30,BullyBot,1794219904,1794219905,AdaptiveBot,2,77,3103,318
31,BullyBot,1314274386,1314274387,AdaptiveBot,1,69,3109,319
32,BullyBot,933667755,933667756,AdaptiveBot,2,69,3115,319
33,BullyBot,553061124,553061125,BullyBot,2,78,3120,319
34,BullyBot,2220599254,2220599255,BullyBot,3,77,3125,319
35,BullyBot,3987476271,3987476272,AdaptiveBot,3,77,3131,319
36,BullyBot,1360047105,1360047106,AdaptiveBot,3,77,3134,319
37,BullyBot,979440474,979440475,AdaptiveBot,1,67,3141,319
38,BullyBot,2646978604,2646978605,AdaptiveBot,1,72,3148,319
