trial,opponent,seed,opponent_rng,winner,game_points,score
1,BullyBot,48567326,48567327,AdaptiveBot,1,61
2,BullyBot,1815444343,1815444344,AdaptiveBot,1,61
3,BullyBot,3482982473,3482982474,BullyBot,2,75
4,BullyBot,3102375842,3102375843,AdaptiveBot,2,71
5,BullyBot,474946676,474946677,BullyBot,3,81
6,BullyBot,2241823693,2241823694,AdaptiveBot,2,82
7,BullyBot,1861217062,1861217063,BullyBot,3,71
8,BullyBot,3528755192,3528755193,BullyBot,2,70
9,BullyBot,3148148561,3148148562,AdaptiveBot,2,76
10,BullyBot,2668203043,2668203044,BullyBot,1,67
