trial,opponent,seed,opponent_rng,winner,game_points,score
1,RdeepBot,3740389706,3740389707,RdeepBot,2,67
2,RdeepBot,1112960540,1112960541,RdeepBot,3,76
3,RdeepBot,2879837557,2879837558,RdeepBot,3,68
4,RdeepBot,252408391,252408392,RdeepBot,1,68
5,RdeepBot,4166769056,4166769057,RdeepBot,3,75
6,RdeepBot,1539339890,1539339891,AdaptiveBot,1,67
7,RdeepBot,1158733259,1158733260,RdeepBot,1,74
8,RdeepBot,2925610276,2925610277,RdeepBot,2,69
9,RdeepBot,298181110,298181111,AdaptiveBot,1,67
10,RdeepBot,4212541775,4212541776,RdeepBot,1,73
