trial,opponent,seed,opponent_rng,winner,game_points,score
1,RdeepBot,28043039,28043040,RdeepBot,3,69
2,RdeepBot,1695581169,1695581170,RdeepBot,3,78
3,RdeepBot,1314974538,1314974539,AdaptiveBot,2,69
4,RdeepBot,3081851555,3081851556,RdeepBot,2,78
5,RdeepBot,454422389,454422390,RdeepBot,3,68
6,RdeepBot,73815758,73815759,RdeepBot,1,85
7,RdeepBot,1741353888,1741353889,AdaptiveBot,3,83
8,RdeepBot,1360747257,1360747258,RdeepBot,3,94
9,RdeepBot,880801739,880801740,RdeepBot,2,72
10,RdeepBot,500195108,500195109,RdeepBot,1,75
