trial,opponent,seed,opponent_rng,winner,game_points,score
1,RandBot,3169564991,3169564992,AdaptiveBot,1,83
2,RandBot,641474712,641474713,AdaptiveBot,1,61
3,RandBot,260868081,260868082,AdaptiveBot,3,92
4,RandBot,1928406211,1928406212,AdaptiveBot,1,60
5,RandBot,1547799580,1547799581,AdaptiveBot,2,75
6,RandBot,1067854062,1067854063,AdaptiveBot,3,70
7,RandBot,687247431,687247432,RandBot,1,83
8,RandBot,2354785561,2354785562,AdaptiveBot,1,64
9,RandBot,1974178930,1974178931,RandBot,2,68
10,RandBot,1593572299,1593572300,AdaptiveBot,3,71
1,BullyBot,1003875353,1003875354,BullyBot,3,70
2,BullyBot,623268722,623268723,BullyBot,3,73
3,BullyBot,143323204,143323205,BullyBot,2,76
4,BullyBot,4057683869,4057683870,AdaptiveBot,1,60
5,BullyBot,1430254703,1430254704,AdaptiveBot,1,70
6,BullyBot,1049648072,1049648073,AdaptiveBot,1,74
7,BullyBot,669041441,669041442,AdaptiveBot,1,77
8,BullyBot,189095923,189095924,AdaptiveBot,1,66
9,BullyBot,4103456588,4103456589,BullyBot,3,71
10,BullyBot,1476027422,1476027423,AdaptiveBot,1,71
1,RdeepBot,3390552178,3390552179,RdeepBot,1,71
2,RdeepBot,3009945547,3009945548,RdeepBot,3,68
3,RdeepBot,382516381,382516382,RdeepBot,1,67
4,RdeepBot,1909750,1909751,RdeepBot,2,70
5,RdeepBot,3816931528,3816931529,RdeepBot,2,68
6,RdeepBot,3436324897,3436324898,RdeepBot,3,67
7,RdeepBot,3055718266,3055718267,RdeepBot,1,71
8,RdeepBot,428289100,428289101,AdaptiveBot,1,72
9,RdeepBot,2195166117,2195166118,RdeepBot,1,71
10,RdeepBot,3862704247,3862704248,RdeepBot,3,69
